,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('self', 0.0027109077), ('mobileye', 0.0019535595), ('term', 0.0018393648), ('tesla', 0.0016976089), ('full', 0.0016615113), ('autonomous', 0.0014584041), ('idiots', 0.0013687352), ('truck', 0.0012631258), ('hw', 0.0010699502), ('dogecoin', 0.0010377318)]",56,0.0083
1.0,1,"[('car', 0.025187632), ('tesla', 0.019329771), ('driver', 0.010790083), ('self', 0.008379132), ('one', 0.0069429073), ('like', 0.006569378), ('get', 0.005878129), ('road', 0.0058306265), ('drive', 0.0054286164), ('cars', 0.004436381)]",2235,0.3295
2.0,2,"[('self', 0.0437545), ('tesla', 0.039128736), ('full', 0.026292363), ('fsd', 0.008332268), ('people', 0.007959639), ('like', 0.0062507726), ('cars', 0.0054364526), ('driver', 0.005373193), ('car', 0.005191819), ('tsla', 0.00435154)]",2659,0.3921
3.0,3,"[('drivers', 0.004156166), ('tesla', 0.0039405124), ('car', 0.003600897), ('attention', 0.002565036), ('people', 0.0022287075), ('self', 0.0018874377), ('full', 0.001673685), ('still', 0.0016550631), ('without', 0.0015366612), ('one', 0.0014343102)]",70,0.0103
4.0,4,"[('tesla', 0.008118233), ('full', 0.0063438565), ('self', 0.0060835346), ('work', 0.005974356), ('drive', 0.005817339), ('like', 0.0048193797), ('go', 0.004309645), ('without', 0.0040132473), ('think', 0.0037760027), ('still', 0.0031327263)]",509,0.0751
5.0,5,"[('like', 0.0013310155), ('data', 0.0012438146), ('tesla', 0.0010672054), ('uber', 0.00082970934), ('autonomous', 0.000793587), ('thats', 0.0007898928), ('one', 0.00075027865), ('self', 0.00065368507), ('idiot', 0.0006340177), ('blue', 0.0006121199)]",23,0.0034
6.0,6,"[('hands', 0.014626068), ('free', 0.007732877), ('wheel', 0.007370183), ('gm', 0.0060820305), ('like', 0.0053671193), ('tesla', 0.005274222), ('cadillac', 0.004580896), ('need', 0.0040011792), ('even', 0.0038627922), ('one', 0.0038156991)]",420,0.0619
7.0,7,"[('like', 0.009348933), ('fsd', 0.008122156), ('tesla', 0.0064082444), ('highway', 0.005862576), ('dont', 0.004604526), ('autonomous', 0.004302856), ('really', 0.0041665556), ('know', 0.0041199145), ('already', 0.0039572185), ('im', 0.0036378196)]",810,0.1194
