Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.9099999999999999,symmetric,0.31476271525957533
100% Corpus,8,symmetric,0.01,0.2583686470862414
100% Corpus,8,symmetric,0.31,0.3142287986828713
100% Corpus,8,symmetric,0.61,0.43500270954651155
100% Corpus,8,symmetric,0.9099999999999999,0.42353973826546953
100% Corpus,8,symmetric,symmetric,0.27351232149271476
100% Corpus,8,asymmetric,0.01,0.271161344079088
100% Corpus,8,asymmetric,0.31,0.332514897453738
100% Corpus,8,asymmetric,0.61,0.4485228801840313
100% Corpus,8,asymmetric,0.9099999999999999,0.4466443447344806
100% Corpus,8,asymmetric,symmetric,0.3012925337990965
100% Corpus,9,0.01,0.01,0.29087798525156094
100% Corpus,9,0.01,0.31,0.3641169320765413
100% Corpus,9,0.01,0.61,0.43821935101652965
100% Corpus,9,0.01,0.9099999999999999,0.3179771975675601
100% Corpus,9,0.01,symmetric,0.3047948128168063
100% Corpus,9,0.31,0.01,0.25383677131682764
100% Corpus,9,0.31,0.31,0.3091123542367535
100% Corpus,9,0.31,0.61,0.3845251552227819
100% Corpus,9,0.31,0.9099999999999999,0.42918303834408267
100% Corpus,9,0.31,symmetric,0.29377311513307786
100% Corpus,9,0.61,0.01,0.26422775578377045
100% Corpus,9,0.61,0.31,0.2992883156563732
100% Corpus,9,0.61,0.61,0.35551175343495856
100% Corpus,9,0.61,0.9099999999999999,0.42233989226846635
100% Corpus,9,0.61,symmetric,0.3010086584379808
100% Corpus,9,0.9099999999999999,0.01,0.30501705610817703
100% Corpus,9,0.9099999999999999,0.31,0.3077125484876536
100% Corpus,9,0.9099999999999999,0.61,0.3379535085641783
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.40404976310098745
100% Corpus,9,0.9099999999999999,symmetric,0.2974057691861456
100% Corpus,9,symmetric,0.01,0.2782747765336423
100% Corpus,9,symmetric,0.31,0.32760180483107226
100% Corpus,9,symmetric,0.61,0.40385072765614427
100% Corpus,9,symmetric,0.9099999999999999,0.3847609645499926
100% Corpus,9,symmetric,symmetric,0.295759680447065
100% Corpus,9,asymmetric,0.01,0.2864607089463577
100% Corpus,9,asymmetric,0.31,0.353647619352033
100% Corpus,9,asymmetric,0.61,0.462793185017919
100% Corpus,9,asymmetric,0.9099999999999999,0.3184142117478209
100% Corpus,9,asymmetric,symmetric,0.3058248061747981
100% Corpus,10,0.01,0.01,0.2973958507758206
100% Corpus,10,0.01,0.31,0.39625848611367
100% Corpus,10,0.01,0.61,0.3963517229299165
100% Corpus,10,0.01,0.9099999999999999,0.2923243791329423
100% Corpus,10,0.01,symmetric,0.3610257768708511
100% Corpus,10,0.31,0.01,0.26015017489224246
100% Corpus,10,0.31,0.31,0.3218023356097147
100% Corpus,10,0.31,0.61,0.4284092386976148
100% Corpus,10,0.31,0.9099999999999999,0.4231484402727629
100% Corpus,10,0.31,symmetric,0.2848309874128775
100% Corpus,10,0.61,0.01,0.26571754898796346
100% Corpus,10,0.61,0.31,0.3241821675799484
100% Corpus,10,0.61,0.61,0.3737987907332506
100% Corpus,10,0.61,0.9099999999999999,0.4373833062601202
100% Corpus,10,0.61,symmetric,0.2715446482700413
100% Corpus,10,0.9099999999999999,0.01,0.28149754857798037
100% Corpus,10,0.9099999999999999,0.31,0.2884593056980066
100% Corpus,10,0.9099999999999999,0.61,0.32198810987671844
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.409891147256981
100% Corpus,10,0.9099999999999999,symmetric,0.28317693354430423
100% Corpus,10,symmetric,0.01,0.28178472742097954
100% Corpus,10,symmetric,0.31,0.3483907991715284
100% Corpus,10,symmetric,0.61,0.46435428615755026
100% Corpus,10,symmetric,0.9099999999999999,0.34723842392267257
100% Corpus,10,symmetric,symmetric,0.33508219777039316
100% Corpus,10,asymmetric,0.01,0.2807520223993861
100% Corpus,10,asymmetric,0.31,0.35976369837533695
100% Corpus,10,asymmetric,0.61,0.41555223886971787
100% Corpus,10,asymmetric,0.9099999999999999,0.37674084568887745
100% Corpus,10,asymmetric,symmetric,0.34283288725302524
