,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('highway', 0.028094953), ('full', 0.019211844), ('using', 0.01921173), ('huawei', 0.019211669), ('markings', 0.019211493), ('door', 0.019211236), ('use', 0.018934768), ('like', 0.015832761), ('self', 0.010063742), ('year', 0.010063495)]",6,0.1579
1.0,1,"[('representative', 0.030522006), ('miles', 0.030521749), ('tesla', 0.015988844), ('highway', 0.015988061), ('musk', 0.015987927), ('engaged', 0.015987817), ('city', 0.015987806), ('aid', 0.015987802), ('vehicle', 0.015987774), ('ap', 0.015987722)]",2,0.0526
2.0,2,"[('self', 0.033431258), ('driver', 0.033431068), ('features', 0.022646997), ('vehicle', 0.022646917), ('hands', 0.02264691), ('prepared', 0.022646891), ('moment', 0.022646865), ('wheel', 0.022646848), ('capability', 0.022646828), ('fully', 0.022646723)]",4,0.1053
3.0,3,"[('car', 0.036515906), ('seat', 0.030762278), ('auto', 0.020839011), ('tesla', 0.016383637), ('add', 0.010915835), ('evolved', 0.010915764), ('agree', 0.010915755), ('everywhere', 0.0109157385), ('cities', 0.010915709), ('belt', 0.010915707)]",5,0.1316
4.0,4,"[('safer', 0.041878827), ('tesla', 0.03777178), ('self', 0.027240904), ('good', 0.025811432), ('walk', 0.022942223), ('long', 0.01459613), ('way', 0.0145960655), ('via', 0.014596027), ('reminder', 0.014596013), ('billboard', 0.014595945)]",4,0.1053
5.0,5,"[('much', 0.035711523), ('actual', 0.018706724), ('relaxed', 0.018706715), ('long', 0.018706698), ('also', 0.018706666), ('work', 0.018706657), ('legs', 0.018706625), ('effort', 0.018706623), ('say', 0.018706564), ('distance', 0.018706564)]",2,0.0526
6.0,6,"[('capable', 0.029254159), ('self', 0.029236762), ('still', 0.02614627), ('car', 0.026146166), ('would', 0.026145715), ('full', 0.016435022), ('true', 0.013695834), ('importantly', 0.013695799), ('things', 0.013695726), ('doubled', 0.013695724)]",3,0.0789
7.0,7,"[('self', 0.04334859), ('safer', 0.042477455), ('full', 0.03103027), ('tesla', 0.028241344), ('musk', 0.017686306), ('car', 0.017685495), ('driver', 0.015361236), ('human', 0.011748811), ('data', 0.011241361), ('road', 0.011089272)]",7,0.1842
8.0,8,"[('possible', 0.032023963), ('ap', 0.03202331), ('best', 0.021693558), ('better', 0.021693489), ('also', 0.02169343), ('safer', 0.011363664), ('ford', 0.011363573), ('dms', 0.011363496), ('experience', 0.011363456), ('algo', 0.011363455)]",4,0.1053
9.0,9,"[('fsd', 0.04240623), ('users', 0.027832508), ('capable', 0.026208188), ('tracks', 0.01532418), ('day', 0.0149077885), ('beta', 0.014774473), ('car', 0.014749014), ('tesla', 0.014579649), ('perfect', 0.014579115), ('time', 0.014571171)]",1,0.0263
