,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('work', 0.027416248), ('stressed', 0.014449865), ('mind', 0.014421465), ('events', 0.0144089535), ('car', 0.014405692), ('job', 0.014405226), ('possible', 0.014403184), ('hr', 0.014402486), ('know', 0.014401627), ('fatigued', 0.0143998545)]",2,0.0476
1.0,1,"[('marelli', 0.023123916), ('radar', 0.023123741), ('systems', 0.023123704), ('whst', 0.023123648), ('driver', 0.023123622), ('autonomous', 0.02312341), ('every', 0.016109882), ('accident', 0.015301056), ('one', 0.014160916), ('driven', 0.013217084)]",3,0.0714
2.0,2,"[('motional', 0.030803004), ('self', 0.016135367), ('birds', 0.016134972), ('navigation', 0.016134791), ('safer', 0.01613479), ('via', 0.016134778), ('derq', 0.016134743), ('busy', 0.016134717), ('vehicles', 0.016134663), ('connectedcars', 0.016134648)]",2,0.0476
3.0,3,"[('self', 0.062552676), ('full', 0.04903461), ('tesla', 0.021507936), ('drive', 0.021410583), ('car', 0.018741354), ('using', 0.016151145), ('version', 0.0145037705), ('called', 0.014503655), ('capability', 0.0145036075), ('cant', 0.014503481)]",6,0.1429
4.0,4,"[('conditions', 0.042911995), ('success', 0.034497887), ('easy', 0.026084282), ('human', 0.020844458), ('cant', 0.01766998), ('compare', 0.01766935), ('self', 0.017490411), ('car', 0.015352197), ('full', 0.014849311), ('safer', 0.011729797)]",5,0.119
5.0,5,"[('fsd', 0.023621326), ('car', 0.02193723), ('safer', 0.021607403), ('technology', 0.0146379275), ('already', 0.01463744), ('also', 0.014637379), ('ceo', 0.014637148), ('one', 0.014636557), ('safe', 0.0138258645), ('pretty', 0.013452398)]",7,0.1667
6.0,6,"[('growth', 0.030739354), ('fsd', 0.022992002), ('better', 0.020824522), ('okay', 0.020823881), ('wasnt', 0.020823875), ('car', 0.014627859), ('full', 0.010908196), ('self', 0.010908123), ('power', 0.010908076), ('rising', 0.010908051)]",4,0.0952
7.0,7,"[('tesla', 0.04279607), ('self', 0.04279496), ('driver', 0.021920474), ('fully', 0.021919623), ('full', 0.021919543), ('still', 0.021919182), ('actually', 0.021919047), ('better', 0.021918306), ('tsla', 0.0114822015), ('like', 0.011482093)]",5,0.119
8.0,8,"[('self', 0.021199286), ('cars', 0.021085775), ('dogepilot', 0.020787222), ('end', 0.015323775), ('tesla', 0.015323504), ('full', 0.015187167), ('way', 0.013594809), ('fact', 0.012662211), ('works', 0.011994221), ('fsd', 0.011915456)]",5,0.119
9.0,9,"[('like', 0.02364182), ('better', 0.023353852), ('far', 0.014057657), ('human', 0.013705918), ('even', 0.013448375), ('car', 0.013392387), ('think', 0.012943548), ('teslas', 0.012383981), ('years', 0.0123838745), ('speak', 0.01238384)]",3,0.0714
