,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('safer', 0.021113157), ('think', 0.017264646), ('driver', 0.015963914), ('using', 0.015963009), ('safety', 0.014661293), ('tesla', 0.012771927), ('capability', 0.010814249), ('full', 0.010814117), ('self', 0.010814113), ('use', 0.010813745)]",7,0.1228
1.0,1,"[('long', 0.02313416), ('enjoyable', 0.022523029), ('drive', 0.019005058), ('often', 0.014406418), ('navigation', 0.014405962), ('good', 0.011857707), ('agreed', 0.011609022), ('systems', 0.011560977), ('better', 0.011063322), ('drives', 0.0109189525)]",5,0.0877
2.0,2,"[('people', 0.023693815), ('think', 0.02284084), ('self', 0.022308018), ('right', 0.013269667), ('full', 0.013179083), ('human', 0.0111035025), ('conference', 0.011042765), ('electronics', 0.011006204), ('fair', 0.0105821965), ('kinda', 0.010582143)]",3,0.0526
3.0,3,"[('tesla', 0.019402156), ('using', 0.014803227), ('trip', 0.014382271), ('full', 0.013673588), ('self', 0.01358121), ('stayed', 0.013143331), ('released', 0.013143236), ('speed', 0.013143199), ('data', 0.013143196), ('true', 0.013143189)]",5,0.0877
4.0,4,"[('tesla', 0.04696445), ('self', 0.029277809), ('seat', 0.020021297), ('every', 0.016107364), ('accident', 0.013364171), ('drivers', 0.011547875), ('engaged', 0.011408237), ('full', 0.011402636), ('safety', 0.009537344), ('non', 0.009053563)]",9,0.1579
5.0,5,"[('every', 0.021657811), ('one', 0.018459693), ('million', 0.018459558), ('registered', 0.018459504), ('fsd', 0.018459437), ('driven', 0.01845916), ('problem', 0.018459037), ('accident', 0.018458938), ('miles', 0.018458141), ('tesla', 0.0138700325)]",3,0.0526
6.0,6,"[('using', 0.079859115), ('read', 0.032710418), ('self', 0.03254656), ('owner', 0.027712734), ('full', 0.027476193), ('capability', 0.02643716), ('manual', 0.026404252), ('please', 0.026330149), ('instructions', 0.02606584), ('information', 0.02317652)]",12,0.2105
7.0,7,"[('features', 0.04032445), ('tesla', 0.026962323), ('safety', 0.025555195), ('safer', 0.020510355), ('time', 0.020410562), ('make', 0.020409914), ('would', 0.016677449), ('new', 0.015432792), ('introduces', 0.015432764), ('parts', 0.015432742)]",8,0.1404
8.0,8,"[('using', 0.04993111), ('self', 0.035040352), ('full', 0.034836356), ('tsla', 0.018487167), ('instructions', 0.017388677), ('manual', 0.017340377), ('responsibility', 0.017336395), ('capability', 0.01724004), ('safety', 0.0172126), ('information', 0.017189806)]",3,0.0526
9.0,9,"[('using', 0.041763518), ('manual', 0.0279307), ('bears', 0.026994351), ('tsla', 0.019612668), ('please', 0.0195358), ('instructions', 0.01938175), ('capability', 0.019146038), ('self', 0.019138869), ('read', 0.018713472), ('full', 0.018283384)]",2,0.0351
