,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('self', 0.037256364), ('full', 0.024243012), ('tesla', 0.022084743), ('police', 0.014700866), ('drunk', 0.014700605), ('individuals', 0.014700516), ('scrutiny', 0.014700441), ('say', 0.014700294), ('drivers', 0.014174225), ('car', 0.01398344)]",6,0.1333
1.0,1,"[('self', 0.038118944), ('tesla', 0.036718465), ('full', 0.028999453), ('generalize', 0.018807113), ('car', 0.010325081), ('fiery', 0.009851634), ('plague', 0.009851607), ('backprop', 0.009851583), ('say', 0.009851533), ('without', 0.009851519)]",5,0.1111
2.0,2,"[('scenarios', 0.027046345), ('gt', 0.0270459), ('self', 0.02374393), ('generally', 0.018321542), ('tesla', 0.01832153), ('full', 0.013948761), ('simply', 0.013811078), ('car', 0.010442562), ('using', 0.009597386), ('like', 0.009597282)]",4,0.0889
3.0,3,"[('environments', 0.026146505), ('tesla', 0.020704841), ('function', 0.013696463), ('id', 0.013696374), ('precisely', 0.013696353), ('human', 0.01369633), ('fleet', 0.013696295), ('restricted', 0.013696223), ('anything', 0.013696006), ('getting', 0.013695994)]",3,0.0667
4.0,4,"[('tesla', 0.057868484), ('one', 0.026029268), ('still', 0.020674616), ('july', 0.017617537), ('semi', 0.017616931), ('driver', 0.017284395), ('autonomous', 0.013553707), ('false', 0.009228331), ('proven', 0.009228325), ('corrected', 0.009228315)]",3,0.0667
5.0,5,"[('tesla', 0.038682044), ('car', 0.028158303), ('today', 0.02350214), ('deaths', 0.023457354), ('accidents', 0.015945598), ('autonomous', 0.015643427), ('one', 0.015632108), ('drivers', 0.009483422), ('self', 0.0084024025), ('days', 0.0084024025)]",4,0.0889
6.0,6,"[('highways', 0.022103429), ('well', 0.01951269), ('tesla', 0.018103719), ('car', 0.017389629), ('preventable', 0.014893898), ('actually', 0.011578399), ('today', 0.01157835), ('number', 0.01157831), ('whether', 0.011578304), ('worse', 0.011578283)]",4,0.0889
7.0,7,"[('self', 0.03649716), ('full', 0.035310853), ('use', 0.022678204), ('sometimes', 0.011879474), ('perfect', 0.011879458), ('profound', 0.0118794115), ('pay', 0.011879403), ('using', 0.01187939), ('technology', 0.011879334), ('miles', 0.01187933)]",4,0.0889
8.0,8,"[('car', 0.030454557), ('crashes', 0.029574066), ('steer', 0.022693133), ('one', 0.022692954), ('tesla', 0.01967675), ('two', 0.019111631), ('people', 0.017158214), ('killed', 0.01715809), ('auto', 0.0171579), ('full', 0.016218953)]",7,0.1556
9.0,9,"[('risk', 0.025790058), ('lt', 0.01747043), ('people', 0.017470367), ('tesla', 0.017470317), ('safer', 0.017470112), ('highway', 0.017470082), ('anyway', 0.017470011), ('use', 0.009151393), ('billions', 0.009151324), ('two', 0.009151323)]",5,0.1111
