,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('self', 0.037505224), ('car', 0.029925464), ('full', 0.029811513), ('tesla', 0.021082733), ('use', 0.011565268), ('people', 0.011401243), ('name', 0.0105828615), ('misleading', 0.008591955), ('using', 0.006746664), ('like', 0.006204022)]",15,0.1079
1.0,1,"[('car', 0.019819967), ('iphone', 0.011433029), ('driver', 0.010936785), ('highway', 0.010554285), ('tesla', 0.010553519), ('getting', 0.007295545), ('key', 0.0072248275), ('take', 0.0068947254), ('warns', 0.0059888577), ('vehicle', 0.00598879)]",4,0.0288
2.0,2,"[('one', 0.015428008), ('engaged', 0.013907415), ('scene', 0.013461904), ('driver', 0.012806431), ('self', 0.012186437), ('supposed', 0.012066834), ('full', 0.011363717), ('seat', 0.010507896), ('fsd', 0.009913218), ('know', 0.009018948)]",9,0.0647
3.0,3,"[('full', 0.017365767), ('self', 0.016007505), ('tesla', 0.012059798), ('treadmill', 0.010158954), ('video', 0.010158616), ('playing', 0.01015861), ('attention', 0.009865896), ('supposed', 0.009306148), ('article', 0.00891352), ('also', 0.008641531)]",7,0.0504
4.0,4,"[('self', 0.03676962), ('technology', 0.02459068), ('full', 0.01733032), ('known', 0.016093098), ('musk', 0.01376481), ('similar', 0.012496886), ('developing', 0.0124968495), ('consumers', 0.012496831), ('deaths', 0.012496542), ('involving', 0.0124965)]",8,0.0576
5.0,5,"[('self', 0.015560049), ('full', 0.011949444), ('also', 0.011684065), ('drivers', 0.010628642), ('must', 0.0095165465), ('autonomous', 0.009516274), ('using', 0.006446955), ('tsla', 0.006446853), ('cars', 0.0064468486), ('tesla', 0.0064467858)]",13,0.0935
6.0,6,"[('tesla', 0.054554712), ('self', 0.025216768), ('car', 0.017652255), ('driver', 0.017109543), ('full', 0.016986696), ('one', 0.013313674), ('musk', 0.012051698), ('two', 0.011009005), ('people', 0.009575385), ('texas', 0.008694909)]",37,0.2662
7.0,7,"[('self', 0.020874254), ('full', 0.019574478), ('tesla', 0.014184058), ('autonomous', 0.0114605045), ('driver', 0.010512464), ('wheel', 0.009267961), ('fsd', 0.008869657), ('make', 0.008571348), ('called', 0.008298891), ('even', 0.00790524)]",22,0.1583
8.0,8,"[('tesla', 0.024379436), ('one', 0.018235238), ('self', 0.01334425), ('full', 0.013178257), ('safety', 0.010727515), ('say', 0.0105460845), ('driver', 0.007721878), ('public', 0.00772178), ('speed', 0.007721626), ('high', 0.0077215726)]",10,0.0719
9.0,9,"[('one', 0.018462736), ('tesla', 0.018102346), ('seat', 0.017399125), ('safety', 0.016350856), ('self', 0.014036326), ('car', 0.012170699), ('two', 0.009830356), ('vehicle', 0.00942404), ('shows', 0.009016057), ('full', 0.008998281)]",14,0.1007
