,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.026531707), ('self', 0.025821634), ('car', 0.020604592), ('deaths', 0.018513467), ('technology', 0.013923435), ('tech', 0.009559667), ('gt', 0.009559411), ('crashes', 0.009559276), ('involved', 0.009559067), ('consumers', 0.009452143)]",8,0.0656
1.0,1,"[('tesla', 0.041856382), ('one', 0.020092646), ('self', 0.015562406), ('driver', 0.0150388265), ('full', 0.01410205), ('fsd', 0.013577884), ('data', 0.013554766), ('car', 0.012906144), ('would', 0.011003497), ('enabled', 0.011003428)]",13,0.1066
2.0,2,"[('one', 0.03144458), ('police', 0.031079968), ('tesla', 0.02824173), ('musk', 0.023089817), ('denies', 0.01933858), ('elon', 0.019201862), ('fatal', 0.018924667), ('claim', 0.0151809165), ('use', 0.014776368), ('without', 0.008478971)]",17,0.1393
3.0,3,"[('car', 0.035980735), ('self', 0.03537123), ('tesla', 0.01681704), ('deadly', 0.015871828), ('tsla', 0.013665242), ('full', 0.013508727), ('engaged', 0.0102482755), ('seatbelt', 0.010248031), ('musk', 0.009763265), ('enabled', 0.009694796)]",12,0.0984
4.0,4,"[('tesla', 0.04536539), ('self', 0.019632163), ('fatal', 0.018371142), ('people', 0.01630083), ('two', 0.014444002), ('claims', 0.012840199), ('take', 0.00988199), ('seat', 0.009048606), ('know', 0.0088942675), ('called', 0.00889376)]",15,0.123
5.0,5,"[('seat', 0.015959874), ('car', 0.014752945), ('drunk', 0.0143777495), ('self', 0.01234085), ('tesla', 0.0123320855), ('elon', 0.008931538), ('driver', 0.00867632), ('people', 0.008461625), ('highway', 0.008050621), ('would', 0.0075313924)]",5,0.041
6.0,6,"[('tesla', 0.024685381), ('self', 0.020763049), ('accident', 0.018935537), ('engaged', 0.01893497), ('claims', 0.014850378), ('fatal', 0.014829775), ('generator', 0.01282716), ('dumber', 0.012826749), ('random', 0.012826445), ('seat', 0.010503883)]",8,0.0656
7.0,7,"[('self', 0.04013009), ('full', 0.020275451), ('car', 0.019542826), ('drivers', 0.018477127), ('tesla', 0.015507039), ('one', 0.014890479), ('seat', 0.014512543), ('road', 0.010672695), ('would', 0.01067267), ('driver', 0.009593542)]",13,0.1066
8.0,8,"[('tesla', 0.046863507), ('car', 0.02356335), ('driver', 0.016883353), ('self', 0.01570312), ('musk', 0.013196595), ('full', 0.013164169), ('elon', 0.009656777), ('far', 0.009605498), ('vehicle', 0.008960666), ('one', 0.007590583)]",14,0.1148
9.0,9,"[('self', 0.040998574), ('tesla', 0.03131015), ('elon', 0.023568433), ('full', 0.022176689), ('musk', 0.020956095), ('car', 0.019467358), ('fatal', 0.017101401), ('claim', 0.014731433), ('capability', 0.012140952), ('far', 0.012048978)]",17,0.1393
