,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.047387347), ('without', 0.027030602), ('easily', 0.027020322), ('car', 0.02697191), ('one', 0.026919918), ('wheel', 0.026890598), ('tricked', 0.02662837), ('seat', 0.021244016), ('days', 0.019217493), ('texas', 0.019217465)]",5.0,0.1042
1.0,1,"[('means', 0.03777027), ('decades', 0.021883309), ('stand', 0.021102192), ('german', 0.021102114), ('using', 0.021035807), ('self', 0.020273617), ('understand', 0.02022424), ('think', 0.020094149), ('even', 0.019270165), ('term', 0.019259427)]",1.0,0.0208
2.0,2,"[('self', 0.05317539), ('tesla', 0.047170773), ('full', 0.035896745), ('cars', 0.0268402), ('problem', 0.018418118), ('think', 0.018365836), ('literally', 0.01835856), ('airplanes', 0.018248923), ('media', 0.018108835), ('driver', 0.012540696)]",6.0,0.125
3.0,3,"[('teslas', 0.031786926), ('trick', 0.031786747), ('driver', 0.031786192), ('tesla', 0.002892883), ('one', 0.002891757), ('car', 0.002891741), ('easily', 0.0028912928), ('tricked', 0.0028911761), ('wheel', 0.002891152), ('behind', 0.002891104)]",1.0,0.0208
4.0,4,"[('tesla', 0.04510397), ('one', 0.03153212), ('wheel', 0.030762896), ('consumer', 0.029770749), ('fsd', 0.026111921), ('car', 0.023794694), ('us', 0.023450194), ('tricked', 0.02310886), ('mode', 0.021168942), ('self', 0.020488787)]",2.0,0.0417
5.0,5,"[('tesla', 0.05133262), ('wheel', 0.04829475), ('one', 0.04694026), ('car', 0.040488735), ('easily', 0.036181033), ('tricked', 0.03242666), ('consumer', 0.032372087), ('mode', 0.031664066), ('us', 0.02683073), ('reports', 0.019599482)]",5.0,0.1042
6.0,6,"[('tesla', 0.05828994), ('car', 0.057171278), ('wheel', 0.056266878), ('one', 0.055950876), ('tricked', 0.055918287), ('easily', 0.052337628), ('tests', 0.044491664), ('find', 0.04347218), ('behind', 0.039672226), ('mode', 0.01636194)]",16.0,0.3333
7.0,7,"[('tesla', 0.035052735), ('full', 0.02329567), ('lack', 0.017499864), ('safeguards', 0.017499566), ('self', 0.015754439), ('elon', 0.015751591), ('ive', 0.013778676), ('teslas', 0.013633642), ('car', 0.012635456), ('take', 0.012511131)]",5.0,0.1042
8.0,8,"[('tesla', 0.0031673273), ('one', 0.0031667282), ('car', 0.0031661813), ('tricked', 0.00316581), ('behind', 0.0031657885), ('wheel', 0.0031657275), ('easily', 0.0031654055), ('driver', 0.003165325), ('find', 0.0031652956), ('consumer', 0.0031652132)]",,
9.0,9,"[('tesla', 0.040317334), ('tricked', 0.023311738), ('seat', 0.021395322), ('teslas', 0.018958485), ('one', 0.018391322), ('self', 0.01756329), ('wheel', 0.01656195), ('easily', 0.016537588), ('car', 0.016159676), ('find', 0.014206834)]",7.0,0.1458
