,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('full', 0.026530284), ('tesla', 0.024377547), ('self', 0.017029006), ('model', 0.015686631), ('fsd', 0.014765293), ('drive', 0.013144888), ('seat', 0.011976186), ('different', 0.009629044), ('engaged', 0.009530363), ('data', 0.009524772)]",5,0.1136
1.0,1,"[('car', 0.031385127), ('vehicle', 0.026652273), ('tesla', 0.026651835), ('full', 0.026631922), ('fsd', 0.026022116), ('enabled', 0.025801199), ('one', 0.023234563), ('self', 0.018415079), ('elon', 0.018055202), ('logs', 0.017473266)]",7,0.1591
2.0,2,"[('car', 0.0150890015), ('self', 0.015088857), ('occupants', 0.015088597), ('two', 0.015088539), ('crashes', 0.015088509), ('mode', 0.0150885), ('relegated', 0.015088461), ('weekend', 0.0150884455), ('reportedly', 0.015088424), ('saw', 0.015088422)]",3,0.0682
3.0,3,"[('self', 0.04302271), ('tesla', 0.023124583), ('engaged', 0.023082301), ('drive', 0.018949492), ('full', 0.018427284), ('shit', 0.01630727), ('people', 0.016307231), ('like', 0.016307091), ('blaming', 0.016306935), ('dumber', 0.015367716)]",8,0.1818
4.0,4,"[('elon', 0.025622373), ('systems', 0.02001932), ('musk', 0.018467048), ('sold', 0.016998798), ('street', 0.015940385), ('made', 0.014991875), ('specifically', 0.014991866), ('highway', 0.014991853), ('highways', 0.014991472), ('stupid', 0.014991439)]",3,0.0682
5.0,5,"[('driver', 0.039732385), ('self', 0.037800025), ('whether', 0.026871247), ('engaged', 0.014267776), ('anyone', 0.014267453), ('disagrees', 0.014267361), ('car', 0.014267324), ('common', 0.0142672695), ('road', 0.014267256), ('never', 0.014267251)]",2,0.0455
6.0,6,"[('self', 0.030171096), ('engaged', 0.019902827), ('full', 0.018022556), ('accident', 0.017797044), ('tesla', 0.01275714), ('random', 0.012575966), ('fatal', 0.012575935), ('dumber', 0.012575785), ('claims', 0.012575717), ('weight', 0.012170822)]",3,0.0682
7.0,7,"[('full', 0.02947294), ('self', 0.022389801), ('automatic', 0.019965969), ('car', 0.01996594), ('fsd', 0.019965833), ('nobody', 0.019965783), ('activated', 0.019965662), ('pilot', 0.019965624), ('seat', 0.019965613), ('idiots', 0.019965384)]",4,0.0909
8.0,8,"[('like', 0.02329844), ('tesla', 0.023180028), ('cars', 0.022431709), ('car', 0.020654019), ('drivers', 0.015783327), ('careless', 0.015783092), ('things', 0.015783075), ('created', 0.015783023), ('fsd', 0.0155585725), ('friend', 0.015288195)]",4,0.0909
9.0,9,"[('car', 0.04895257), ('distracted', 0.023298264), ('encourages', 0.019019265), ('enabled', 0.018271286), ('fsd', 0.018198242), ('tesla', 0.012884158), ('distract', 0.012884121), ('one', 0.012884091), ('nobody', 0.012883944), ('every', 0.012883656)]",5,0.1136
