,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.0272656), ('court', 0.02526985), ('german', 0.021137318), ('advertising', 0.02038572), ('false', 0.020366654), ('autonomous', 0.020085355), ('germany', 0.018884506), ('banned', 0.018751547), ('use', 0.018332545), ('asleep', 0.014898321)]",6,0.0909
1.0,1,"[('person', 0.028842865), ('german', 0.019510062), ('thinking', 0.0166651), ('country', 0.016351132), ('lack', 0.016271206), ('ever', 0.016210206), ('law', 0.01618775), ('pathetic', 0.016152054), ('anyway', 0.016145121), ('courts', 0.0160727)]",1,0.0152
2.0,2,"[('never', 0.026484476), ('self', 0.019793326), ('could', 0.015697014), ('see', 0.014658096), ('people', 0.014509296), ('human', 0.0144647695), ('input', 0.014426694), ('understandable', 0.014392415), ('zero', 0.014293829), ('misleading', 0.014141537)]",1,0.0152
3.0,3,"[('tesla', 0.06854253), ('german', 0.060577158), ('court', 0.05858435), ('full', 0.0550139), ('self', 0.045543544), ('misleading', 0.04452137), ('judged', 0.020166578), ('claims', 0.018675672), ('ads', 0.016748378), ('says', 0.01595593)]",15,0.2273
4.0,4,"[('full', 0.026951533), ('use', 0.023850387), ('inclusive', 0.015613926), ('german', 0.014812213), ('self', 0.014750519), ('court', 0.014742159), ('potential', 0.014637637), ('autonomous', 0.014577811), ('munich', 0.014522622), ('tesla', 0.014362834)]",2,0.0303
5.0,5,"[('court', 0.067135155), ('german', 0.06363785), ('full', 0.06109242), ('tesla', 0.053721447), ('self', 0.052102942), ('misleading', 0.027385946), ('tsla', 0.025998088), ('rules', 0.019973002), ('misled', 0.01960995), ('consumers', 0.018986361)]",29,0.4394
6.0,6,"[('self', 0.02044555), ('fraud', 0.020444438), ('utterly', 0.020444296), ('abilities', 0.020444296), ('automobile', 0.020444222), ('predictable', 0.020444106), ('operate', 0.020444019), ('replacement', 0.020443907), ('required', 0.020443805), ('anybody', 0.020443762)]",2,0.0303
7.0,7,"[('full', 0.034032866), ('self', 0.03353398), ('tesla', 0.022523155), ('court', 0.019466884), ('german', 0.019015647), ('people', 0.017256442), ('tsla', 0.015834486), ('misleading', 0.015744211), ('claims', 0.014694778), ('fredericlambert', 0.014694205)]",2,0.0303
8.0,8,"[('people', 0.035328943), ('distracted', 0.022837875), ('pilots', 0.020326018), ('get', 0.019171987), ('without', 0.018930607), ('one', 0.013782877), ('matter', 0.013571788), ('dumb', 0.010647204), ('required', 0.010647187), ('fact', 0.010647123)]",3,0.0455
9.0,9,"[('court', 0.056533597), ('full', 0.04845519), ('self', 0.047370646), ('german', 0.041417476), ('tesla', 0.040489633), ('tsla', 0.033907916), ('rules', 0.021475915), ('misled', 0.021475239), ('consumers', 0.02147434), ('misleading', 0.01975479)]",5,0.0758
