,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
22,22,0.0,0.8875,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes - fiweh life - 
23,23,1.0,0.9591,"saying, fixing, killed, month, last, people, tesla, crashes, fence, environment"," i will need to know how many people were killed last month driving teslas without ""autopilot"" to make a fair determination if fewer people were killed last month using the autopilot than those who were not then it's a good thing to use "
24,24,1.0,0.85,"saying, fixing, killed, month, last, people, tesla, crashes, fence, environment",3 crashes 3 deaths raise questions about tesla's autopilot driving system 
25,25,5.0,0.82,"crashes, self, scrutiny, three, teslas, elon, musk, cars, tesla, planned",teslas self-driving autopilot system under scrutiny after 3 deadlycrashes 
26,26,0.0,0.85,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",teslas self-driving autopilot system under scrutiny after 3 deadly crashes 
27,27,6.0,0.9182,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes | cbc news ev automobile automotive
28,28,0.0,0.9308,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas last month that killed three people have increased scrutiny of the company's autopilot driving system 
29,29,0.0,0.9609,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months","three crashes involving teslas that killed three people last month have increased scrutiny of the company's autopilot system just months before ceo elon musk wants to put self-driving cars on the streets "" $tsla "
30,30,6.0,0.91,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully", autopilot is the future of driving - needs to be compared to human error which kills hundreds every day
31,31,0.0,0.9571,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months", three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets 
32,32,0.0,0.6472,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets would you own or ride autopilot in a car 
33,33,0.0,0.7402,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets january 03 2020 at 08 04am | by the associated press 
34,34,0.0,0.8875,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes - business - | january 3 - | 
35,35,0.0,0.5709,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three fatal crashes involving teslas have increased scrutiny of the companys autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets are you ready for self-driving cars 
36,36,0.0,0.9571,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",via tesla's self-driving autopilot system under scrutiny after 3 deadly crashes three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk 
37,37,6.0,0.8714,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",teslas self-driving autopilot system under scrutiny after 3 deadly crashes | cbcnews 
38,38,0.0,0.8183,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",detroit - three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets 
39,39,7.0,0.9609,"crashes, may, deaths, rash, teslas, business, prevent, fox, self, without",trending fox business news 3 deaths in rash self-driving tesla crashes threaten elon musk's autopilot ambitions the company contends that teslas with autopilot are safer than vehicles without it but cautions that the system does not prevent all crashes 
40,40,0.0,0.9308,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas last month that killed three people have increased scrutiny of the companys autopilot driving system 
41,41,6.0,0.955,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully", always take my own driving as an example many while on autopilot i take my slightly of the wheel a few also more than that when i do that i take responsibility of what might happen bc i violate the toa i've accepted that's what all the tragically deceased also did 
42,42,0.0,0.9182,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system 
43,43,5.0,0.5474,"crashes, self, scrutiny, three, teslas, elon, musk, cars, tesla, planned","3 deaths in rash self-driving tesla crashes threaten elon musk's autopilot ambitions"" posted by nagendra bandi the company contends that teslas with autopilot are safer than vehicles without it but cautions that the system does not prevent all crashes "
44,44,0.0,0.91,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",3 crashes involving teslas that killed 3 people increases scrutiny of the companys autopilot driving system elonmusk 
45,45,0.0,0.9571,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the companys autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets | 
46,46,8.0,0.9308,"population, self, technology, resolution, call, average, less, conventions, human, new", i have to disagree with you ed it is math autopilot can be less safe than an average driver because the autopilot population is small relative to the whole driving population 
47,47,8.0,0.9,"population, self, technology, resolution, call, average, less, conventions, human, new", greg is going to cry and shit his pants when autopilot is driving around sleeping passengers in 2021 
48,48,7.0,0.9471,"crashes, may, deaths, rash, teslas, business, prevent, fox, self, without","written before autopilot was a thing ""if you are a middle-aged driver you may have become complacent about your driving ability after years of driving however driving on autopilot may actually leave you vulnerable on the road "" "
