,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,6.0,0.95,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",according to a recent study drivers who rely on adas tech are more likely to engage in distracted driving an alabama attorney explains how a system failure at any time can still cause an accident 
1,1,8.0,0.9308,"population, self, technology, resolution, call, average, less, conventions, human, new","naming conventions for adas technology and a new year's resolution ""don't call something self-driving if human supervision is required"" "
2,2,1.0,0.925,"saying, fixing, killed, month, last, people, tesla, crashes, fence, environment", not saying otherwise im saying that the driving motivation is money not fixing the environment which acc is on the fence about needing fixing or not 
3,3,4.0,0.925,"self, crashes, tesla, teslas, scrutiny, deadly, cars, journal, western, news",fatal crashes cast doubt on teslas autopilot system future for self-driving cars via western journal 
4,4,0.0,0.9571,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets 
5,5,0.0,0.9571,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the companys autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets 
6,6,6.0,0.85,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes 
7,7,9.0,0.9437,"three, people, increased, killed, crashes, scrutiny, teslas, last, involving, month",three crashes involving teslas last month that killed three people have increased scrutiny of the companys autopilot driving system insurance emergingissues underwriting insuranceindustry 
8,8,6.0,0.9182,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes - wait til someone hacks one 
9,9,4.0,0.9526,"self, crashes, tesla, teslas, scrutiny, deadly, cars, journal, western, news", once other manufacturers are able to crack the battery range which will happen a tesla will be just like any other car autopilot and self-driving features which also won't be ready for a long time aren't tesla-specific either 
10,10,6.0,0.8875,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes | cbc news 
11,11,0.0,0.4808,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",tesla's self-driving autopilot system has come under increased scrutiny after three crashes which killed three people 
12,12,0.0,0.9591,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",autopilot in favor or against three crashes involving teslas that killed three people have increased scrutiny of the company's autopilot driving system just months before ceo elon musk has planned to put fully self-driving cars on the streets 
13,13,0.0,0.9591,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people last month have increased scrutiny of the company's autopilot system just months before ceo elon musk wants to put self-driving cars on the streets 
14,14,0.0,0.9182,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the companys autopilot driving system 
15,15,2.0,0.91,"roads, would, fit, accept, better, simply, reality, drive, even, people","some of you shouldn't be driving even with ""autopilot "" the roads would be better if you'd simply accept reality you're not fit to drive "
16,16,8.0,0.85,"population, self, technology, resolution, call, average, less, conventions, human, new", and it should not be difficult to ask a question on autopilot are you driving and being assisted or you are not driving and are on autopilot /automatic 
17,17,6.0,0.9,"self, scrutiny, crashes, three, deadly, teslas, cars, tesla, increased, fully",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes | cbc news technews
18,18,0.0,0.9571,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people have increased scrutiny of the companys autopilot driving system just months before ceo elon musk planned to put fully self-driving cars on the streets 
19,19,0.0,0.9,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",tesla's self-driving autopilot system under scrutiny after 3 deadly crashes +1 ehbot canada news
20,20,5.0,0.9,"crashes, self, scrutiny, three, teslas, elon, musk, cars, tesla, planned","tesla's self-driving autopilot system under scrutiny after 3 deadly crashes"" tesla autopilot crashes elonmusk"
21,21,0.0,0.9308,"three, scrutiny, crashes, teslas, involving, people, killed, increased, self, months",three crashes involving teslas that killed three people in the past month have increased scrutiny of the companys autopilot driving system 
