,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.056249492), ('distant', 0.034764387), ('second', 0.033646725), ('self', 0.027642088), ('full', 0.027548345), ('sticker', 0.02349153), ('gm', 0.020168701), ('goes', 0.018463317), ('beta', 0.01843203), ('rated', 0.018409451)]",12,0.24
1.0,1,"[('self', 0.019428587), ('tesla', 0.019101473), ('study', 0.018170768), ('cadillac', 0.017622994), ('easy', 0.012287484), ('safely', 0.011135223), ('use', 0.0109804375), ('experts', 0.010177567), ('iso', 0.010177424), ('register', 0.010177417)]",5,0.1
2.0,2,"[('beta', 0.032210417), ('essentially', 0.017074049), ('paying', 0.016838131), ('much', 0.01678142), ('lots', 0.016770419), ('seen', 0.01673692), ('extended', 0.016732102), ('still', 0.016651906), ('line', 0.016567783), ('videos', 0.01656462)]",1,0.02
3.0,3,"[('self', 0.040697616), ('tesla', 0.037657697), ('gm', 0.024760252), ('full', 0.020575076), ('better', 0.014084407), ('goes', 0.01390429), ('distant', 0.013893361), ('beta', 0.01388064), ('rated', 0.013826126), ('multi', 0.013782917)]",6,0.12
4.0,4,"[('tesla', 0.045301758), ('outperforms', 0.035004307), ('systems', 0.035004172), ('cadillac', 0.03500368), ('second', 0.029437518), ('distant', 0.027909638), ('tslaq', 0.017788986), ('tsla', 0.017788954), ('close', 0.01778865), ('automakers', 0.017788114)]",10,0.2
5.0,5,"[('model', 0.026424263), ('interior', 0.019616442), ('great', 0.01856242), ('long', 0.014889894), ('order', 0.011930367), ('visuals', 0.009723502), ('performance', 0.0097234715), ('comfortable', 0.00972346), ('engineers', 0.009723445), ('amount', 0.009723356)]",4,0.08
6.0,6,"[('tesla', 0.035060637), ('reports', 0.01831886), ('full', 0.017546693), ('gm', 0.017546596), ('self', 0.017546577), ('round', 0.017546533), ('systems', 0.017546475), ('consumer', 0.010357684), ('active', 0.010202587), ('best', 0.0101628415)]",6,0.12
7.0,7,"[('tesla', 0.029311178), ('teslas', 0.015922125), ('gm', 0.015353581), ('capabilities', 0.015353449), ('autonomous', 0.0153533695), ('self', 0.015353356), ('wide', 0.015353334), ('cadillacs', 0.015353311), ('areas', 0.015353285), ('range', 0.0153532615)]",2,0.04
8.0,8,"[('development', 0.021389503), ('systems', 0.018073954), ('driver', 0.014065817), ('reports', 0.011894948), ('second', 0.01157982), ('aws', 0.011431419), ('ads', 0.011428031), ('requires', 0.011408279), ('nov', 0.011374221), ('resources', 0.011165639)]",1,0.02
9.0,9,"[('tesla', 0.036805768), ('systems', 0.017709848), ('ramp', 0.017709779), ('currently', 0.017709542), ('driver', 0.017219836), ('drive', 0.017081674), ('car', 0.016762456), ('responsive', 0.013237213), ('distant', 0.012116838), ('beta', 0.011509907)]",3,0.06
