,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.04576699), ('active', 0.022835052), ('consumer', 0.02096114), ('reports', 0.02028367), ('gm', 0.02002771), ('tsla', 0.019448403), ('self', 0.014692311), ('one', 0.01469165), ('registered', 0.01468069), ('every', 0.014680684)]",6,0.1714
1.0,1,"[('highway', 0.024560789), ('free', 0.024560785), ('rated', 0.024560379), ('gm', 0.024560245), ('self', 0.02455988), ('tesla', 0.024559135), ('said', 0.012865498), ('fuel', 0.01286534), ('also', 0.0128653115), ('future', 0.012865309)]",5,0.1429
2.0,2,"[('scored', 0.038362727), ('show', 0.025987245), ('statistics', 0.025987193), ('almost', 0.025987137), ('tesla', 0.025987094), ('without', 0.025986845), ('new', 0.025986334), ('safe', 0.025985632), ('claim', 0.014763695), ('gm', 0.013612936)]",4,0.1143
3.0,3,"[('self', 0.017484555), ('driver', 0.017484447), ('highways', 0.015730305), ('road', 0.015102907), ('free', 0.014674198), ('attention', 0.0141255725), ('systems', 0.011273326), ('works', 0.010034606), ('tesla', 0.009893386), ('true', 0.009158723)]",5,0.1429
4.0,4,"[('would', 0.0128653515), ('added', 0.012865323), ('could', 0.01286532), ('divided', 0.01286529), ('works', 0.012865281), ('voyeur', 0.01286527), ('clean', 0.012865258), ('gm', 0.012865247), ('camera', 0.012865242), ('driver', 0.012865232)]",3,0.0857
5.0,5,"[('check', 0.029419456), ('want', 0.028011015), ('highways', 0.017973853), ('red', 0.015084831), ('showing', 0.015084665), ('today', 0.015084499), ('inch', 0.01508442), ('infotainment', 0.015084329), ('stop', 0.015084324), ('hot', 0.0150843095)]",2,0.0571
6.0,6,"[('gm', 0.02632058), ('tesla', 0.024141487), ('tech', 0.021686606), ('rated', 0.02168639), ('autonomous', 0.021686003), ('showdown', 0.02168598), ('one', 0.0199615), ('test', 0.012773086), ('get', 0.011916978), ('intervention', 0.011344233)]",1,0.0286
7.0,7,"[('self', 0.03502972), ('full', 0.035022546), ('tesla', 0.035019394), ('ap', 0.023691464), ('consumer', 0.012436898), ('autoblog', 0.012436862), ('notes', 0.012436788), ('testing', 0.012436736), ('assisted', 0.012436715), ('owners', 0.012436679)]",5,0.1429
8.0,8,"[('active', 0.034374088), ('ratings', 0.031341933), ('tesla', 0.029181851), ('tests', 0.020962816), ('cr', 0.020962624), ('second', 0.02096246), ('systems', 0.02096245), ('breaking', 0.020962276), ('beats', 0.020962207), ('time', 0.020962147)]",2,0.0571
9.0,9,"[('gm', 0.029374521), ('tesla', 0.02937332), ('active', 0.029372796), ('one', 0.016610896), ('edged', 0.0153867435), ('reports', 0.015386712), ('systems', 0.015386672), ('organization', 0.015386614), ('consumer', 0.015386579), ('co', 0.015386547)]",2,0.0571
