,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.08219252), ('full', 0.07491231), ('self', 0.06641256), ('enhanced', 0.053647805), ('subscription', 0.037873633), ('deadline', 0.035145942), ('launch', 0.034818944), ('preparing', 0.033686627), ('puts', 0.032259744), ('alternative', 0.016958272)]",5.0,0.2273
1.0,1,"[('reintroduces', 0.06491296), ('self', 0.063262075), ('cheaper', 0.06316824), ('alternative', 0.062974796), ('tesla', 0.06257804), ('enhanced', 0.061854944), ('offering', 0.061553154), ('full', 0.060826294), ('electrek', 0.042049114), ('view', 0.025245974)]",5.0,0.2273
2.0,2,"[('tesla', 0.05519106), ('grand', 0.04516962), ('mom', 0.042046107), ('self', 0.032325312), ('enhanced', 0.03232456), ('reintroduces', 0.0323243), ('offering', 0.03232401), ('full', 0.03232384), ('cheaper', 0.03232384), ('alternative', 0.032323007)]",1.0,0.0455
3.0,3,"[('full', 0.03748593), ('offering', 0.036311794), ('enhanced', 0.035830736), ('tesla', 0.034664877), ('us', 0.03432265), ('join', 0.03406783), ('alternative', 0.034023434), ('cheaper', 0.033710472), ('self', 0.033564407), ('view', 0.0332206)]",,
4.0,4,"[('tesla', 0.05279327), ('preparing', 0.052099578), ('launch', 0.051991705), ('puts', 0.05176016), ('enhanced', 0.05108554), ('deadline', 0.04939544), ('subscription', 0.048993368), ('self', 0.048645806), ('full', 0.04655096), ('bjmt', 0.034862798)]",,
5.0,5,"[('puts', 0.031477157), ('deadline', 0.030765058), ('enhanced', 0.029910022), ('launch', 0.029415753), ('preparing', 0.02817419), ('subscription', 0.026666727), ('self', 0.025606401), ('electrek', 0.023563264), ('full', 0.022054724), ('tesla', 0.021512425)]",,
6.0,6,"[('tesla', 0.05581984), ('self', 0.053552624), ('subscription', 0.0487114), ('launch', 0.04486202), ('full', 0.043618057), ('preparing', 0.042898405), ('enhanced', 0.02782095), ('monthly', 0.026573641), ('globalnews', 0.025185099), ('electrek', 0.025021464)]",,
7.0,7,"[('tesla', 0.08855876), ('self', 0.07359339), ('full', 0.0666009), ('preparing', 0.054185495), ('launch', 0.052599207), ('enhanced', 0.050487157), ('subscription', 0.049113255), ('deadline', 0.04905955), ('puts', 0.040006954), ('update', 0.015993588)]",10.0,0.4545
8.0,8,"[('eap', 0.057405733), ('engaged', 0.047824163), ('enhanced', 0.040194828), ('self', 0.03428805), ('full', 0.0315318), ('fsd', 0.029177153), ('tesla', 0.028632075), ('one', 0.028218105), ('preparing', 0.0272179), ('puts', 0.02671711)]",1.0,0.0455
9.0,9,"[('enhanced', 0.00893351), ('self', 0.008933157), ('full', 0.008932369), ('tesla', 0.008931776), ('puts', 0.008931221), ('preparing', 0.008930976), ('launch', 0.008930965), ('subscription', 0.008930727), ('deadline', 0.00893024), ('alternative', 0.008929871)]",,
