,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('self', 0.033035543), ('musk', 0.033033583), ('tesla', 0.033033237), ('elon', 0.033033065), ('coming', 0.03303303), ('full', 0.033032726), ('soon', 0.0330324), ('says', 0.033032138), ('clearly', 0.033031724), ('work', 0.0330316)]",1.0,0.0256
1.0,1,"[('lower', 0.028118594), ('collect', 0.027421858), ('insurance', 0.027255945), ('discounts', 0.027068444), ('traditional', 0.026406107), ('ability', 0.026289351), ('able', 0.02598417), ('data', 0.025924124), ('rates', 0.025570475), ('vehicles', 0.025414102)]",1.0,0.0256
2.0,2,"[('self', 0.066955626), ('musk', 0.06695312), ('full', 0.06695272), ('elon', 0.066951804), ('says', 0.06695139), ('tesla', 0.045355547), ('coming', 0.04535536), ('soon', 0.04535527), ('see', 0.0453547), ('relevante', 0.023757633)]",3.0,0.0769
3.0,3,"[('self', 0.06339982), ('full', 0.03553809), ('month', 0.035537824), ('elon', 0.03553716), ('beta', 0.035536926), ('musk', 0.035536837), ('promises', 0.035536677), ('sallam', 0.024355294), ('tesla', 0.01861559), ('another', 0.018614609)]",2.0,0.0513
4.0,4,"[('full', 0.05373592), ('tesla', 0.053735312), ('beta', 0.05373486), ('musk', 0.053734787), ('self', 0.053733636), ('month', 0.040628776), ('promises', 0.0406284), ('elon', 0.04062774), ('version', 0.027522374), ('hardware', 0.014416711)]",3.0,0.0769
5.0,5,"[('self', 0.110243), ('tesla', 0.08224497), ('full', 0.07955319), ('elon', 0.044414982), ('musk', 0.043907832), ('says', 0.043417398), ('coming', 0.04033802), ('month', 0.032192327), ('beta', 0.032190997), ('drive', 0.031188602)]",7.0,0.1795
6.0,6,"[('self', 0.058195736), ('musk', 0.050546914), ('elon', 0.04929385), ('tesla', 0.033823553), ('full', 0.02488401), ('says', 0.02059359), ('drive', 0.0196184), ('beta', 0.017140562), ('promises', 0.017139606), ('month', 0.017139489)]",1.0,0.0256
7.0,7,"[('tesla', 0.069304556), ('vision', 0.06930303), ('hardware', 0.03630159), ('around', 0.036301542), ('spotted', 0.036301393), ('francisco', 0.03630131), ('testing', 0.036301218), ('fsd', 0.036301173), ('prototype', 0.03630116), ('san', 0.036301058)]",1.0,0.0256
8.0,8,"[('believe', 0.027404768), ('provide', 0.025596507), ('use', 0.023326544), ('tesla', 0.02226681), ('offer', 0.022128647), ('companies', 0.021371284), ('continuously', 0.0212616), ('vehicles', 0.020834938), ('rates', 0.02065975), ('data', 0.020263761)]",,
9.0,9,"[('self', 0.09749287), ('full', 0.082645126), ('coming', 0.07633674), ('elon', 0.06371957), ('tesla', 0.06371777), ('musk', 0.057409327), ('month', 0.05740928), ('says', 0.051101733), ('beta', 0.05110125), ('soon', 0.03217524)]",20.0,0.5128
