,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.035833474), ('full', 0.030669674), ('self', 0.030107493), ('german', 0.02428179), ('court', 0.024279676), ('consumers', 0.024274286), ('rallies', 0.02427414), ('misled', 0.024274098), ('rules', 0.0242735), ('autonomous', 0.015348995)]",4,0.1333
1.0,1,"[('court', 0.03631289), ('german', 0.03604843), ('self', 0.03416673), ('tesla', 0.033538103), ('autonomous', 0.022556502), ('claims', 0.022147529), ('ruled', 0.021870242), ('full', 0.018935122), ('teslas', 0.016920503), ('misleading', 0.015613575)]",6,0.2
2.0,2,"[('inadequation', 0.03186426), ('times', 0.017900275), ('dangers', 0.017611593), ('driver', 0.017186366), ('behaviour', 0.01716059), ('risk', 0.017031524), ('second', 0.016993055), ('act', 0.01691864), ('safetynex', 0.016907124), ('called', 0.01690694)]",1,0.0333
3.0,3,"[('self', 0.06845483), ('full', 0.041609623), ('advertise', 0.02818695), ('marketing', 0.028185774), ('misleading', 0.014764902), ('guidelines', 0.014764855), ('gemacht', 0.014764803), ('consumers', 0.014764759), ('hope', 0.014764744), ('might', 0.014764733)]",4,0.1333
4.0,4,"[('tesla', 0.034265127), ('german', 0.02321199), ('using', 0.023211937), ('full', 0.023211652), ('court', 0.023211557), ('musk', 0.023211554), ('autonomous', 0.023211464), ('terms', 0.023211382), ('potential', 0.023211367), ('dangerous', 0.013547025)]",4,0.1333
5.0,5,"[('going', 0.025488367), ('obviously', 0.025488185), ('self', 0.025488034), ('pay', 0.025487894), ('means', 0.025487533), ('youre', 0.025487429), ('misleading', 0.025487423), ('inadequation', 0.013156819), ('especially', 0.009290602), ('potential', 0.008967274)]",1,0.0333
6.0,6,"[('german', 0.025822401), ('use', 0.02582214), ('choice', 0.025822131), ('tesla', 0.025822083), ('misleading', 0.025821868), ('court', 0.025821809), ('term', 0.025821798), ('marketing', 0.013526179), ('material', 0.013526005), ('common', 0.013525992)]",3,0.1
7.0,7,"[('id', 0.030886784), ('car', 0.016178852), ('bet', 0.016178792), ('agree', 0.016178787), ('error', 0.016178785), ('guess', 0.016178733), ('move', 0.01617872), ('wasnt', 0.016178697), ('shoulder', 0.016178692), ('emergency', 0.01617865)]",1,0.0333
8.0,8,"[('tesla', 0.030279117), ('court', 0.025442773), ('people', 0.020574467), ('fault', 0.020173261), ('vehicles', 0.017235832), ('german', 0.017235804), ('said', 0.017235784), ('vehicle', 0.017235715), ('self', 0.017235503), ('full', 0.017235436)]",5,0.1667
9.0,9,"[('misleading', 0.025881328), ('self', 0.025881069), ('court', 0.025880951), ('thatcham', 0.025880802), ('brand', 0.025880795), ('support', 0.025880653), ('says', 0.025880646), ('german', 0.025880642), ('tesla', 0.02588063), ('driver', 0.025880624)]",1,0.0333
