,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('three', 0.09030359), ('scrutiny', 0.06936713), ('crashes', 0.069223225), ('teslas', 0.053655926), ('involving', 0.049697917), ('people', 0.049546834), ('killed', 0.049527116), ('increased', 0.045408614), ('self', 0.0452887), ('months', 0.029790591)]",24.0,0.4898
1.0,1,"[('saying', 0.039578903), ('fixing', 0.03957888), ('killed', 0.03227855), ('month', 0.03175868), ('last', 0.031324662), ('people', 0.031259246), ('tesla', 0.020732692), ('crashes', 0.020732608), ('fence', 0.020731995), ('environment', 0.020731954)]",3.0,0.0612
2.0,2,"[('roads', 0.031658415), ('would', 0.031658262), ('fit', 0.031658124), ('accept', 0.031658012), ('better', 0.031657852), ('simply', 0.031657778), ('reality', 0.031657774), ('drive', 0.031657606), ('even', 0.031657185), ('people', 0.015584445)]",1.0,0.0204
3.0,3,"[('may', 0.029599259), ('however', 0.021459807), ('leave', 0.020088172), ('complacent', 0.02000719), ('ability', 0.019651797), ('vulnerable', 0.019546192), ('become', 0.018857758), ('thing', 0.01870652), ('road', 0.01847012), ('written', 0.018355709)]",,
4.0,4,"[('self', 0.053492542), ('crashes', 0.050183743), ('tesla', 0.045504894), ('teslas', 0.026728636), ('scrutiny', 0.019714842), ('deadly', 0.01971472), ('cars', 0.019714346), ('journal', 0.01971427), ('western', 0.019714171), ('news', 0.019714147)]",2.0,0.0408
5.0,5,"[('crashes', 0.062241685), ('self', 0.057638936), ('scrutiny', 0.04592141), ('three', 0.045814164), ('teslas', 0.043036137), ('elon', 0.03188939), ('musk', 0.031054815), ('cars', 0.029649992), ('tesla', 0.029451968), ('planned', 0.026945153)]",3.0,0.0612
6.0,6,"[('self', 0.051135812), ('scrutiny', 0.047926925), ('crashes', 0.047656097), ('three', 0.035632975), ('deadly', 0.02802416), ('teslas', 0.024929011), ('cars', 0.022941986), ('tesla', 0.022610117), ('increased', 0.02107769), ('fully', 0.020752216)]",9.0,0.1837
7.0,7,"[('crashes', 0.03823909), ('may', 0.027143368), ('deaths', 0.020659218), ('rash', 0.020617997), ('teslas', 0.020609954), ('business', 0.020446394), ('prevent', 0.02044567), ('fox', 0.020440953), ('self', 0.020424478), ('without', 0.020417303)]",2.0,0.0408
8.0,8,"[('population', 0.036268096), ('self', 0.018999357), ('technology', 0.018997855), ('resolution', 0.018997781), ('call', 0.018997753), ('average', 0.018997729), ('less', 0.018997699), ('conventions', 0.018997693), ('human', 0.018997656), ('new', 0.018997654)]",4.0,0.0816
9.0,9,"[('three', 0.09032898), ('people', 0.04592587), ('increased', 0.045905106), ('killed', 0.045904916), ('crashes', 0.04583873), ('scrutiny', 0.045617037), ('teslas', 0.03127712), ('last', 0.031276356), ('involving', 0.031276327), ('month', 0.031276044)]",1.0,0.0204
