,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('car', 0.02762227), ('use', 0.02384205), ('take', 0.018846584), ('wheel', 0.01785323), ('feature', 0.01661371), ('fatal', 0.01248925), ('apple', 0.012489083), ('drive', 0.012488969), ('argument', 0.012488892), ('keep', 0.012488846)]",3.0,0.06
1.0,1,"[('risk', 0.0032336204), ('car', 0.0031993133), ('full', 0.0031574494), ('mean', 0.0031461343), ('understood', 0.0031431583), ('use', 0.0031415874), ('autonomous', 0.0031404812), ('understand', 0.0031352327), ('works', 0.0031338271), ('anyway', 0.0031304073)]",,
2.0,2,"[('tesla', 0.043733146), ('use', 0.029850857), ('car', 0.026476648), ('smartphone', 0.023159921), ('ntsb', 0.023132812), ('banning', 0.02310752), ('employee', 0.023014985), ('criticizes', 0.022996042), ('fatal', 0.022958992), ('apple', 0.022881772)]",2.0,0.04
3.0,3,"[('apple', 0.042680707), ('tesla', 0.04268011), ('ntsb', 0.022357164), ('criticizes', 0.022356628), ('employee', 0.022356616), ('use', 0.02235651), ('banning', 0.02235646), ('fatal', 0.022356348), ('news', 0.022356035), ('smartphone', 0.022355923)]",1.0,0.02
4.0,4,"[('tesla', 0.0668286), ('fatal', 0.05857858), ('apple', 0.042077895), ('ntsb', 0.033828124), ('smartphone', 0.033827834), ('criticizes', 0.03382778), ('employee', 0.033827774), ('banning', 0.033827465), ('use', 0.03382714), ('distracted', 0.025577001)]",12.0,0.24
5.0,5,"[('us', 0.023148552), ('every', 0.02313084), ('attention', 0.02276671), ('deaths', 0.022766368), ('solution', 0.022766305), ('distracted', 0.022766232), ('human', 0.022766178), ('shortcoming', 0.02276597), ('year', 0.02276597), ('thousands', 0.022765525)]",1.0,0.02
6.0,6,"[('tesla', 0.041004587), ('distracted', 0.027403407), ('self', 0.027056776), ('car', 0.026915396), ('deadly', 0.020879922), ('blame', 0.020817699), ('drivers', 0.020457504), ('ntsb', 0.016929707), ('like', 0.016534146), ('use', 0.01441923)]",9.0,0.18
7.0,7,"[('tesla', 0.036688156), ('ntsb', 0.029841274), ('self', 0.022437343), ('car', 0.022180317), ('drivers', 0.013449817), ('perception', 0.013336643), ('stupid', 0.013336411), ('automated', 0.012256737), ('partially', 0.012219641), ('response', 0.012060661)]",7.0,0.14
8.0,8,"[('tesla', 0.051340066), ('ntsb', 0.039008733), ('use', 0.032746006), ('apple', 0.031047538), ('smartphone', 0.024959978), ('employee', 0.024959737), ('fatal', 0.024959363), ('banning', 0.024959292), ('criticizes', 0.02495887), ('attention', 0.015037874)]",5.0,0.1
9.0,9,"[('tesla', 0.041777074), ('distracted', 0.02904805), ('automated', 0.02488646), ('partially', 0.024420911), ('blame', 0.021955766), ('deadly', 0.021880267), ('drivers', 0.020160655), ('cannot', 0.018153971), ('said', 0.017511569), ('systems', 0.017507035)]",10.0,0.2
