,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('car', 0.04452803), ('tesla', 0.03366799), ('without', 0.033667523), ('getting', 0.033667356), ('tsla', 0.033667337), ('police', 0.033667326), ('posting', 0.033667326), ('roasted', 0.033667196), ('video', 0.03366703), ('youtuber', 0.03366695)]",3.0,0.1154
1.0,1,"[('ai', 0.051140636), ('mobility', 0.030500595), ('collisions', 0.02710079), ('wavyn', 0.026754677), ('entrepeneurship', 0.02646239), ('connectedcars', 0.02593186), ('try', 0.025537789), ('fundraising', 0.025505926), ('startup', 0.025362508), ('assistant', 0.024770098)]",1.0,0.0385
2.0,2,"[('tesla', 0.0067181457), ('video', 0.006714195), ('youtuber', 0.006713883), ('driver', 0.006713577), ('seat', 0.006713278), ('anyone', 0.0067130607), ('posting', 0.006713033), ('roasted', 0.0067130113), ('one', 0.006712939), ('getting', 0.006712786)]",,
3.0,3,"[('youtuber', 0.07919998), ('video', 0.07919918), ('tesla', 0.07919866), ('seat', 0.07919858), ('driver', 0.07919844), ('stupid', 0.070494585), ('deeply', 0.06179275), ('one', 0.061791524), ('via', 0.026979208), ('roasted', 0.018276991)]",10.0,0.3846
4.0,4,"[('tesla', 0.006717394), ('seat', 0.00671491), ('driver', 0.006714699), ('video', 0.006714439), ('youtuber', 0.006714134), ('one', 0.0067130774), ('without', 0.0067130374), ('anyone', 0.006713021), ('getting', 0.0067129997), ('posting', 0.0067129694)]",,
5.0,5,"[('tesla', 0.030170953), ('video', 0.03017055), ('youtuber', 0.030170456), ('seat', 0.030170329), ('driver', 0.03017029), ('without', 0.03017017), ('posting', 0.030169984), ('anyone', 0.030169763), ('tsla', 0.030169616), ('work', 0.030169606)]",,
6.0,6,"[('suddenly', 0.02355922), ('repeatedly', 0.020944353), ('wife', 0.02091824), ('north', 0.020638192), ('trips', 0.019390931), ('separate', 0.01883633), ('better', 0.01827501), ('freeway', 0.01817316), ('worse', 0.017850105), ('seriously', 0.017616523)]",,
7.0,7,"[('twice', 0.030837733), ('car', 0.030724643), ('yesterday', 0.029653534), ('oakland', 0.029274393), ('mph', 0.029135285), ('switched', 0.029014776), ('gotten', 0.028479053), ('meanwhile', 0.027990516), ('slow', 0.027812637), ('imagine', 0.027774364)]",1.0,0.0385
8.0,8,"[('tesla', 0.07110612), ('video', 0.07110588), ('youtuber', 0.071105346), ('seat', 0.057164084), ('roasted', 0.05716408), ('driver', 0.05716386), ('without', 0.057163674), ('getting', 0.057163402), ('posting', 0.05716331), ('anyone', 0.043220438)]",9.0,0.3462
9.0,9,"[('tesla', 0.051747024), ('video', 0.018364547), ('youtuber', 0.018364508), ('seat', 0.018364465), ('anyone', 0.018364325), ('driver', 0.018364046), ('getting', 0.018364022), ('without', 0.01836399), ('instead', 0.018363949), ('posting', 0.018363943)]",2.0,0.0769
