,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('systems', 0.021213036), ('traffic', 0.019733237), ('year', 0.018038016), ('take', 0.012261135), ('around', 0.011111842), ('emergency', 0.011111822), ('techs', 0.011111792), ('making', 0.011111788), ('like', 0.011111659), ('safer', 0.011111627)]",3,0.0462
1.0,1,"[('full', 0.07590839), ('self', 0.070526175), ('tesla', 0.05354674), ('vs', 0.024524912), ('capability', 0.023391254), ('enhanced', 0.023119675), ('offers', 0.016041456), ('owners', 0.015439029), ('upgrading', 0.013056171), ('model', 0.0113002425)]",28,0.4308
2.0,2,"[('self', 0.060375784), ('full', 0.049987707), ('capability', 0.049069352), ('upgrading', 0.047105264), ('price', 0.024127167), ('prior', 0.024127007), ('customers', 0.024126545), ('tesla', 0.016565146), ('reducing', 0.01263837), ('owners', 0.0126383025)]",5,0.0769
3.0,3,"[('self', 0.04266792), ('full', 0.04187388), ('elon', 0.028881205), ('tesla', 0.025340015), ('capability', 0.024796335), ('price', 0.017468695), ('included', 0.014792721), ('lord', 0.0147926435), ('extra', 0.014792625), ('cost', 0.014792572)]",5,0.0769
4.0,4,"[('full', 0.058853153), ('self', 0.057097666), ('tesla', 0.04895901), ('price', 0.0358748), ('customer', 0.031008618), ('bought', 0.028928688), ('able', 0.02779233), ('prior', 0.026188992), ('capability', 0.021158488), ('purchased', 0.020214146)]",9,0.1385
5.0,5,"[('well', 0.02249466), ('owner', 0.022493392), ('two', 0.02248616), ('thank', 0.022483388), ('thanks', 0.022482581), ('upgrade', 0.022470057), ('self', 0.022458594), ('reduction', 0.022456838), ('tesla', 0.022449914), ('full', 0.0020539244)]",1,0.0154
6.0,6,"[('tesla', 0.03942964), ('self', 0.030925257), ('full', 0.029589375), ('capability', 0.019361438), ('back', 0.016278518), ('upgrades', 0.012721233), ('slashes', 0.012508082), ('prices', 0.012181497), ('prior', 0.011040592), ('additional', 0.011040326)]",3,0.0462
7.0,7,"[('full', 0.028678669), ('self', 0.027793651), ('thats', 0.019072896), ('free', 0.016521364), ('enhanced', 0.016153459), ('capability', 0.0160901), ('model', 0.013642344), ('customers', 0.013642336), ('told', 0.013642141), ('right', 0.013642082)]",3,0.0462
8.0,8,"[('full', 0.034539722), ('self', 0.03453743), ('tesla', 0.018091382), ('offers', 0.0180913), ('pedals', 0.018091025), ('cleantechnica', 0.018090874), ('keeps', 0.018090794), ('would', 0.018090652), ('wheel', 0.01809063), ('turn', 0.018090557)]",2,0.0308
9.0,9,"[('self', 0.05586891), ('full', 0.054406743), ('tesla', 0.0453455), ('prices', 0.03425286), ('offers', 0.022423573), ('slashes', 0.019017661), ('upgrades', 0.018775241), ('owners', 0.016314529), ('late', 0.013440231), ('friday', 0.013339733)]",6,0.0923
