,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('self', 0.05310326), ('tesla', 0.049904335), ('full', 0.037674073), ('fsd', 0.030646823), ('feature', 0.02504689), ('enhanced', 0.021894293), ('ap', 0.020458631), ('back', 0.020134868), ('autonomous', 0.014649513), ('fully', 0.010535049)]",8,0.1212
1.0,1,"[('tesla', 0.07063216), ('feature', 0.045732003), ('full', 0.04573111), ('back', 0.045730323), ('self', 0.04572891), ('gone', 0.018830232), ('gt', 0.018830169), ('stress', 0.018829975), ('cars', 0.01734787), ('configurations', 0.009863827)]",7,0.1061
2.0,2,"[('self', 0.046918742), ('full', 0.031535175), ('enhanced', 0.016153004), ('teslas', 0.016152756), ('back', 0.016152745), ('still', 0.016152667), ('fsd', 0.008461334), ('feature', 0.008461148), ('everything', 0.008461102), ('get', 0.008461094)]",7,0.1061
3.0,3,"[('tesla', 0.018712116), ('fsd', 0.01655261), ('summon', 0.016202595), ('get', 0.016182262), ('enhanced', 0.013387946), ('really', 0.0117230285), ('essentially', 0.011502297), ('confirmed', 0.011088804), ('makes', 0.010600858), ('come', 0.010555085)]",2,0.0303
4.0,4,"[('self', 0.032812238), ('full', 0.03281206), ('back', 0.017187027), ('get', 0.01718644), ('buy', 0.017186293), ('podcast', 0.01718628), ('hey', 0.017186228), ('together', 0.017186139), ('question', 0.017186062), ('add', 0.017186044)]",2,0.0303
5.0,5,"[('tesla', 0.053827766), ('self', 0.051198468), ('full', 0.039963905), ('feature', 0.029491058), ('car', 0.024144394), ('back', 0.024142886), ('get', 0.018255347), ('driver', 0.017689321), ('model', 0.0123666935), ('cost', 0.012366681)]",6,0.0909
6.0,6,"[('self', 0.021224884), ('ap', 0.020241827), ('chance', 0.01993203), ('computer', 0.019863961), ('full', 0.011757988), ('rest', 0.0117569165), ('though', 0.011756912), ('bought', 0.011756896), ('car', 0.011756845), ('talking', 0.0117568)]",3,0.0455
7.0,7,"[('self', 0.05284695), ('full', 0.044797838), ('summon', 0.020424357), ('range', 0.01724199), ('enhanced', 0.016672254), ('ramp', 0.013835901), ('ap', 0.013835767), ('adds', 0.013835538), ('changing', 0.0127982795), ('sales', 0.012451522)]",8,0.1212
8.0,8,"[('model', 0.03424904), ('self', 0.033740155), ('full', 0.03307467), ('get', 0.022405524), ('good', 0.022405092), ('upgraded', 0.022405038), ('tesla', 0.012616911), ('go', 0.01255698), ('option', 0.01248056), ('new', 0.0123312315)]",3,0.0455
9.0,9,"[('tesla', 0.069797814), ('full', 0.067776114), ('self', 0.06700312), ('back', 0.04999716), ('feature', 0.049996298), ('teslas', 0.015345127), ('big', 0.0103958165), ('year', 0.010395677), ('ramp', 0.010395573), ('says', 0.0103955455)]",20,0.303
