,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('car', 0.09439815), ('tesla', 0.06630694), ('driver', 0.05854844), ('self', 0.047202744), ('dog', 0.04537622), ('cop', 0.0416806), ('checking', 0.041162834), ('crashes', 0.037240226), ('damn', 0.03366829), ('police', 0.03144232)]",20.0,0.4348
1.0,1,"[('tesla', 0.02937856), ('full', 0.027524522), ('self', 0.025732197), ('smart', 0.025730649), ('fsd', 0.025730615), ('dangerous', 0.025730481), ('equally', 0.025730332), ('summon', 0.0257302), ('tsla', 0.025730098), ('help', 0.006052571)]",1.0,0.0217
2.0,2,"[('tesla', 0.02320716), ('car', 0.02320636), ('barrier', 0.02320536), ('jersey', 0.023205355), ('throwing', 0.023205169), ('jump', 0.023205126), ('fairfield', 0.023205096), ('make', 0.02320507), ('county', 0.023205051), ('decide', 0.02320503)]",1.0,0.0217
3.0,3,"[('tesla', 0.030524522), ('city', 0.024260068), ('car', 0.019698897), ('dangerous', 0.019697804), ('assisted', 0.019697508), ('disheartening', 0.019697336), ('allows', 0.019697249), ('abuse', 0.019697176), ('disengagement', 0.019697161), ('every', 0.019697146)]",2.0,0.0435
4.0,4,"[('car', 0.05719014), ('driver', 0.04564264), ('tesla', 0.039866626), ('crashes', 0.038337223), ('self', 0.032052625), ('cop', 0.032052547), ('dog', 0.032052137), ('checking', 0.032052066), ('damn', 0.032051854), ('vehicle', 0.019483231)]",4.0,0.087
5.0,5,"[('car', 0.039401945), ('tesla', 0.03334908), ('self', 0.03085405), ('driver', 0.023784887), ('cars', 0.0198586), ('teslas', 0.01780814), ('needed', 0.016706208), ('fictional', 0.01661714), ('crashes', 0.016302207), ('checking', 0.016198099)]",6.0,0.1304
6.0,6,"[('tesla', 0.0031875672), ('car', 0.0031873868), ('self', 0.0031867335), ('crashes', 0.0031863735), ('driver', 0.003186263), ('dog', 0.0031861712), ('cop', 0.0031857006), ('damn', 0.0031855793), ('checking', 0.0031855486), ('police', 0.0031852932)]",,
7.0,7,"[('tesla', 0.026119085), ('attention', 0.026118856), ('fsd', 0.026118534), ('driver', 0.026118068), ('drunk', 0.0136813205), ('rather', 0.013681299), ('folks', 0.013681277), ('dog', 0.0136812655), ('curious', 0.013681258), ('making', 0.013681246)]",2.0,0.0435
8.0,8,"[('tesla', 0.06920735), ('drivers', 0.0272306), ('hands', 0.020207169), ('self', 0.018329225), ('wheel', 0.018288411), ('requires', 0.016083682), ('feature', 0.011177483), ('make', 0.010067533), ('driver', 0.009761035), ('yet', 0.009601422)]",5.0,0.1087
9.0,9,"[('car', 0.037477195), ('tesla', 0.03747568), ('crashes', 0.037475657), ('police', 0.028334605), ('driver', 0.019195171), ('self', 0.019195013), ('times', 0.019194834), ('phones', 0.019194756), ('model', 0.01919467), ('reading', 0.019194603)]",5.0,0.1087
