,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.054825414), ('oncoming', 0.04178674), ('traffic', 0.04178624), ('fool', 0.041785844), ('researchers', 0.028307471), ('teslas', 0.028307153), ('trick', 0.028307103), ('drivers', 0.028306816), ('would', 0.028306775), ('stickers', 0.028306713)]",6.0,0.24
1.0,1,"[('tesla', 0.011224878), ('enhanced', 0.010750671), ('autonomous', 0.010276194), ('capability', 0.010135346), ('hands', 0.010083101), ('shelled', 0.010071774), ('keep', 0.009970577), ('car', 0.009887881), ('know', 0.009849329), ('available', 0.009840111)]",,
2.0,2,"[('trick', 0.040001232), ('researchers', 0.040001128), ('traffic', 0.04000086), ('oncoming', 0.039999843), ('teslas', 0.039999146), ('self', 0.039999012), ('product', 0.03999886), ('course', 0.03999886), ('read', 0.03999877), ('really', 0.03999861)]",1.0,0.04
3.0,3,"[('vehicle', 0.078479156), ('advertising', 0.05316318), ('full', 0.027847854), ('available', 0.02784775), ('self', 0.027847722), ('finance', 0.02784762), ('though', 0.027847607), ('disclosures', 0.027847596), ('payment', 0.027847553), ('required', 0.027847543)]",1.0,0.04
4.0,4,"[('trick', 0.12154318), ('oncoming', 0.12064369), ('traffic', 0.11880899), ('researchers', 0.11860437), ('teslas', 0.10414164), ('cybersecurity', 0.05032793), ('tesla', 0.027636949), ('nakedsecurity', 0.022889048), ('rt', 0.018133286), ('infosec', 0.016799482)]",14.0,0.56
5.0,5,"[('teslas', 0.008703018), ('traffic', 0.008701562), ('researchers', 0.008701144), ('trick', 0.008701133), ('oncoming', 0.008700043), ('tesla', 0.008697562), ('cybersecurity', 0.008696624), ('fool', 0.008695946), ('unobtrusive', 0.008695922), ('full', 0.008695916)]",,
6.0,6,"[('teslas', 0.008702705), ('trick', 0.008700997), ('researchers', 0.00870088), ('traffic', 0.008700653), ('oncoming', 0.008700612), ('tesla', 0.008697199), ('cybersecurity', 0.008696346), ('unobtrusive', 0.0086961435), ('full', 0.008696062), ('fool', 0.008695967)]",,
7.0,7,"[('teslas', 0.0390223), ('researchers', 0.039019283), ('oncomingtraffic', 0.039017774), ('trick', 0.03901755), ('test', 0.033882122), ('driver', 0.02754355), ('extremely', 0.022256391), ('cede', 0.02203782), ('misleading', 0.02167107), ('trusting', 0.02104693)]",1.0,0.04
8.0,8,"[('veering', 0.033007264), ('drivers', 0.032541472), ('thinking', 0.032363713), ('researchers', 0.032020096), ('would', 0.03148006), ('fool', 0.03137747), ('stickers', 0.031190587), ('placed', 0.031073831), ('see', 0.030724008), ('left', 0.03040048)]",1.0,0.04
9.0,9,"[('traffic', 0.09465337), ('researchers', 0.094358735), ('teslas', 0.09375556), ('oncoming', 0.092661776), ('trick', 0.08999296), ('tesla', 0.038991045), ('sophos', 0.038989313), ('follow', 0.024922928), ('infosec', 0.023348348), ('cybersecurity', 0.02065072)]",1.0,0.04
