,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('tesla', 0.06139997), ('police', 0.04410314), ('car', 0.042179976), ('driver', 0.041855417), ('reckless', 0.035455357), ('cited', 0.026808048), ('drivers', 0.023131251), ('people', 0.023017967), ('crashing', 0.018159764), ('dog', 0.016421946)]",6.0,0.1622
1.0,1,"[('police', 0.045259092), ('tesla', 0.045258816), ('car', 0.0452587), ('driver', 0.030659314), ('cited', 0.030659262), ('crashing', 0.03065915), ('self', 0.03065881), ('reckless', 0.030657498), ('anything', 0.016130753), ('hits', 0.016059952)]",2.0,0.0541
2.0,2,"[('self', 0.053704996), ('know', 0.05370473), ('owners', 0.028131306), ('package', 0.028131235), ('released', 0.02813122), ('clear', 0.028131215), ('function', 0.028131159), ('well', 0.028131157), ('full', 0.028131125), ('legalized', 0.028131042)]",1.0,0.027
3.0,3,"[('tesla', 0.032328732), ('motorways', 0.021900775), ('even', 0.02185736), ('driver', 0.01694986), ('point', 0.013996996), ('people', 0.013820126), ('car', 0.013791817), ('accident', 0.013767622), ('police', 0.011471964), ('british', 0.011471906)]",3.0,0.0811
4.0,4,"[('tesla', 0.02085294), ('new', 0.020852424), ('migz', 0.020852372), ('require', 0.020852305), ('drivetribe', 0.020852298), ('test', 0.020852279), ('migzracing', 0.020852275), ('usanews', 0.02085225), ('drivers', 0.020852089), ('connecticut', 0.020852003)]",2.0,0.0541
5.0,5,"[('statistics', 0.030486908), ('climate', 0.020572565), ('legislation', 0.020277884), ('shame', 0.02007047), ('random', 0.01997039), ('also', 0.019759394), ('would', 0.019727992), ('individual', 0.019620532), ('exceptionsand', 0.01952671), ('safer', 0.019319305)]",1.0,0.027
6.0,6,"[('tesla', 0.08455435), ('reckless', 0.077568494), ('police', 0.07756564), ('driver', 0.07057707), ('cited', 0.063591845), ('car', 0.06359156), ('crashing', 0.056603003), ('summon', 0.0146753695), ('given', 0.014675251), ('drivers', 0.0146750985)]",16.0,0.4324
7.0,7,"[('car', 0.04250136), ('tesla', 0.028792003), ('police', 0.02879082), ('hits', 0.028790431), ('planes', 0.015081316), ('technology', 0.015081289), ('augment', 0.015081261), ('drivers', 0.015081256), ('mostly', 0.015081255), ('mean', 0.015081235)]",3.0,0.0811
8.0,8,"[('tesla', 0.003987285), ('driver', 0.003987228), ('police', 0.003987043), ('car', 0.0039861714), ('cited', 0.003986003), ('reckless', 0.0039859335), ('crashing', 0.0039853225), ('hits', 0.003985258), ('drivers', 0.003984478), ('self', 0.0039844327)]",,
9.0,9,"[('driver', 0.05629591), ('tesla', 0.037013933), ('using', 0.037012406), ('accident', 0.020905133), ('cited', 0.01938792), ('would', 0.01938764), ('people', 0.019387633), ('self', 0.019387625), ('full', 0.019387616), ('attentive', 0.019387592)]",3.0,0.0811
