,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('seo', 0.0064738574), ('new', 0.0064682504), ('offering', 0.006464941), ('self', 0.006464561), ('search', 0.0064537493), ('via', 0.006453273), ('marketing', 0.006452546), ('brightedge', 0.0064524217), ('land', 0.006452395), ('engine', 0.006452258)]",,
1.0,1,"[('seo', 0.15536083), ('new', 0.11244644), ('self', 0.103860915), ('offering', 0.078110315), ('visit', 0.018025968), ('land', 0.01802593), ('engine', 0.018025909), ('search', 0.018025907), ('tasks', 0.018025873), ('fully', 0.018025871)]",7.0,0.1148
2.0,2,"[('seo', 0.13116695), ('new', 0.10966562), ('offering', 0.10966383), ('self', 0.10966312), ('tips', 0.023652945), ('business', 0.023652744), ('marketing', 0.023652717), ('growthhacking', 0.02365259), ('greg', 0.02365238), ('socialmedia', 0.023652356)]",5.0,0.082
3.0,3,"[('seo', 0.07151222), ('new', 0.055841442), ('offering', 0.05573444), ('self', 0.055291507), ('land', 0.029466454), ('search', 0.029309236), ('engine', 0.029064225), ('ai', 0.02750528), ('promises', 0.027505202), ('brightedge', 0.027504943)]",2.0,0.0328
4.0,4,"[('seo', 0.14191203), ('new', 0.12531586), ('self', 0.10871592), ('offering', 0.100416094), ('search', 0.058923665), ('engine', 0.02572691), ('land', 0.02572688), ('news', 0.017428001), ('marketing', 0.00912934), ('sterling', 0.009129169)]",13.0,0.2131
5.0,5,"[('still', 0.04680395), ('tesla', 0.046803635), ('jackpot', 0.046803523), ('hit', 0.046803474), ('trust', 0.04680328), ('yet', 0.046803083), ('even', 0.046803057), ('perfect', 0.046802655), ('seo', 0.004273695), ('self', 0.0042648218)]",1.0,0.0164
6.0,6,"[('seo', 0.059227675), ('offering', 0.059225094), ('self', 0.059224125), ('new', 0.05922038), ('eng', 0.031019153), ('search', 0.031018881), ('selfdrivingcar', 0.031018613), ('autonomouscar', 0.03101838), ('using', 0.01855349), ('member', 0.01846697)]",2.0,0.0328
7.0,7,"[('seo', 0.13458791), ('tasks', 0.046931062), ('key', 0.046513367), ('self', 0.04639269), ('offering', 0.045601316), ('new', 0.04540753), ('promises', 0.025788821), ('brightedge', 0.025788322), ('engine', 0.022997223), ('please', 0.022945145)]",2.0,0.0328
8.0,8,"[('seo', 0.07809526), ('offering', 0.059048943), ('new', 0.05904877), ('self', 0.0590484), ('land', 0.020952119), ('engine', 0.020952057), ('promises', 0.020951916), ('brightedge', 0.020951914), ('force', 0.020951862), ('thank', 0.02095179)]",2.0,0.0328
9.0,9,"[('seo', 0.18382749), ('offering', 0.11059017), ('self', 0.11058986), ('new', 0.11058658), ('marketing', 0.03735156), ('via', 0.022703566), ('onlinemarketing', 0.022703249), ('gt', 0.015380157), ('sem', 0.01538014), ('google', 0.015379903)]",27.0,0.4426
