,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,0,"[('seo', 0.05105832), ('self', 0.044623148), ('new', 0.043574527), ('offering', 0.026118735), ('brightedge', 0.01961191), ('promises', 0.019611856), ('lead', 0.019611653), ('cars', 0.019611634), ('technology', 0.019611571), ('marketing', 0.01961157)]",2.0,0.05
1.0,1,"[('seo', 0.03380061), ('self', 0.017706467), ('offering', 0.017705845), ('new', 0.01770532), ('human', 0.017704269), ('yu', 0.017704258), ('involvement', 0.017704133), ('optimized', 0.017704127), ('promises', 0.017704125), ('perform', 0.017704103)]",2.0,0.05
2.0,2,"[('seo', 0.1001591), ('offering', 0.06732295), ('new', 0.067322664), ('self', 0.06732021), ('brightedge', 0.05090083), ('promises', 0.05090015), ('marketing', 0.018062143), ('onlinemarketing', 0.018062139), ('blogging', 0.018062074), ('wordpress', 0.018062022)]",3.0,0.075
3.0,3,"[('seo', 0.05311694), ('please', 0.0293924), ('self', 0.027485734), ('new', 0.026839934), ('tesla', 0.022715831), ('autonomous', 0.022568716), ('drive', 0.020791572), ('offering', 0.01939578), ('according', 0.01878503), ('fully', 0.018711789)]",6.0,0.15
4.0,4,"[('seo', 0.1042921), ('new', 0.083960555), ('self', 0.082590796), ('offering', 0.08026128), ('search', 0.02913469), ('engine', 0.022749554), ('land', 0.022177314), ('via', 0.021919766), ('brightedge', 0.014849375), ('promises', 0.014849338)]",20.0,0.5
5.0,5,"[('seo', 0.044278484), ('new', 0.042458754), ('self', 0.042105604), ('offering', 0.029765699), ('get', 0.0143459095), ('metric', 0.014345822), ('every', 0.014345808), ('kelly', 0.014345792), ('network', 0.014345785), ('clearly', 0.014345777)]",2.0,0.05
6.0,6,"[('tran', 0.03386098), ('tin', 0.029278314), ('tintran', 0.020999376), ('trantantin', 0.019301822), ('trantin', 0.018713892), ('offering', 0.018100165), ('seo', 0.017291762), ('self', 0.016277801), ('new', 0.013243035), ('game', 0.011003691)]",1.0,0.025
7.0,7,"[('self', 0.029837644), ('dont', 0.029836217), ('search', 0.029835586), ('new', 0.029835403), ('engine', 0.029835101), ('dyson', 0.020211551), ('experience', 0.020211445), ('offering', 0.020211348), ('land', 0.020211283), ('seo', 0.020210717)]",3.0,0.075
8.0,8,"[('new', 0.06471672), ('self', 0.06471622), ('seo', 0.043842044), ('offering', 0.04383871), ('tesla', 0.04383836), ('option', 0.022963732), ('summon', 0.022963708), ('customers', 0.022963649), ('released', 0.022963561), ('feature', 0.022963561)]",1.0,0.025
9.0,9,"[('seo', 0.004191133), ('new', 0.004188425), ('offering', 0.004188369), ('self', 0.004188217), ('engine', 0.0041853217), ('search', 0.0041852943), ('promises', 0.0041850596), ('land', 0.0041848463), ('brightedge', 0.004184839), ('via', 0.0041847606)]",,
